Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
Asarum,Asarum,x,x,x,x,x,56.20750,14.85139
"Bengtsboda, Norra Holländarevägen",Bengtsboda,x,x,x,x,x,56.31944,14.77778
Halahult (1:51),Halahult,x,x,x,x,x,56.30028,15.00361
"Hällaryd, Matbörsen",Hällaryd,x, , , ,"",56.20278,14.94750
"COOP Forum, Strömma",Karlshamn,x,x,x,x,x,56.18944,14.84889
"Karlshamn, Kolonigatan 9",Karlshamn,x,x,x,x,x,56.17583,14.86556
"Karlshamn, Vägga idrottsplats",Karlshamn,x,x,x,x,x,56.16361,14.88222
"Matvik, Hamnen",Matvik,x,x,x,x,x,56.16778,14.96944
"Mörrum, Mörrumskiosken",Mörrum,x, , , , ,56.19639,14.75389
"Mörrum, Norra kiosken",Mörrum,x,x,x,x,x,56.19833,14.74500
"Mörrum, Konsum",Mörrum,x,x,x,x,x,56.19306,14.74583
"Svängsta, Mariegården",Svängsta,x,x,x,x,x,56.26028,14.77583
"Märserum, Åryd",Märserum,x,x,x,x,x,56.20750,15.01694
"Karlshamn, Jysk Bäddlager",Karlshamn,x,x,x,x,x,56.17806,14.85417
"Prästslätten, Kvarteret Champinjonen (1)",Karlshamn,x,x,x,x,x,56.18028,14.86333
Tubbaryd (ÅVC),Karlshamn,x,x,x,x,x,56.17750,14.84444
Mörrum (ÅVC),Karlshamn,x,x,"","",x,56.18778,14.73000
Hällaryd (ÅVC),Karlshamn,x,x,x,x,x,56.19750,14.94444
"Aspö, vid fotbollsplan",Aspö,x,x,x,x,x,56.12083,15.55056
"Backabo, Affären",Backabo,x,x,x,x,x,56.20306,15.62833
"Blå Port, Preem bensinstation",Blå Port,x,x,x,x,x,56.17194,15.59722
Brömsebro,Brömsebro,x,x,x,x,x,56.29972,16.00000
"Bubbetorp, Återvinningsstation (ÅVC)",Bubbetorp,x,x,x,x,x,56.23972,15.61028
"Fridlevstad, P-plats skolan",Fridlevstad,x,x,x,x,x,56.26917,15.54278
"Fågelmara, Järnvägsstation",Fågelmara,x,x,x,x,x,56.26000,15.94528
"Gisslevik,  Avfallsstation",Gisslevik,x,x,x,x,x,56.10500,15.81778
"Hasslö,  Avfallsstation",Hasslö,x,x,x,x,x,56.11806,15.47000
"Hasslö, Idrottsplatsen",Hasslö,x,x,x,x,x,56.11472,15.47694
"Holmsjö, Söder om skolan",Holmsjö,x,x,x,x,x,56.41083,15.54389
"Hässlegården, Stålvägen",Hässlegården,x,x,x,x,x,56.21972,15.65194
Oscarsvärn,Hästö,x,x,x,x,x,56.18500,15.61917
"Jämjö, P-plats Jändelskolan",Jämjö,x,x,x,x,x,56.18694,15.82861
Jämjö Centrum,Jämjö,x,x,x,x,x,56.19222,15.83500
"Jämjö, P-plats",Jämjö,x,x,x,x,x,56.18972,15.84306
"Jämjö, Villavägen",Jämjö,x,x,x,x,x,56.19361,15.83889
"Kungsmarken, Kungsmarksplan",Kungsmarken,x,x,x,x,x,56.19278,15.62278
"Lyckeby, Gamla järnvägsstationen",Lyckeby,x,x,x,x,x,56.19806,15.65222
"Lyckeby, Idrottsplatsen",Lyckeby,x,x,x,x,x,56.19306,15.65556
"Lyckeby, Konsum",Lyckeby,x,x,x,x,x,56.19694,15.66556
"Långö, Långöbron",Långö,x,x,x,x,x,56.17444,15.58528
"Mariedal, Kiosken",Mariedal,x,x,x,x,x,56.19889,15.61750
Ica nära,Nättraby,x,x,x,x,x,56.19917,15.53583
"Nättraby, 22:ans centrum",Nättraby,x,x,x,x,x,56.20611,15.52889
"Nättraby, P-plats",Nättraby,x,x,x,x,x,56.19250,15.52750
"Nävragöl, Gamla vägen/Bokvägen",Nävragöl,x,x,x,x,x,56.37556,15.56556
"Pantarholmen, Barktorget",Pantarholmen,x,x,x,x,x,56.17306,15.58833
"Ramdala, Ramdala Centrum",Ramdala,x,x,x,x,x,56.18389,15.76833
"Rödeby, P-plats simhallen",Rödeby,x,x,x,x,x,56.26556,15.62083
"Rödeby, P-plats Rödeby Centrum",Rödeby,x,x,x,x,x,56.26139,15.61528
"Rödeby, Slalombacken",Rödeby,x,x,x,x,x,56.26000,15.62556
Saltö,Saltö,x,x,x,x,x,56.16556,15.56806
"Spandelstorp, Författarevägen",Spandelstorp,x,x,x,x,x,56.21056,15.66250
"Spandelstorp, Konstnärsvägen",Spandelstorp,x,x,x,x,x,56.21250,15.65528
"Spjutsbygd, Järnvägsstation",Spjutsbygd,x,x,x,x,x,56.31194,15.59361
Strömsberg,Strömsberg,x,x,x,x,x,56.33306,15.64500
"Sturkö, Sturköhallen",Sturkö,x,x,x,x,x,56.11417,15.67167
"Säby, P-plats Säbyvallen",Säby,x,x,x,x,x,56.16667,15.75500
"Sälleryd, Stora vägen",Sälleryd,x,x,x,x,x,56.29333,15.84444
"Torskors, Järnvägsövergången",Torskors,x,x,x,x,x,56.21139,15.63417
"Trossö, Chapmansplan",Trossö,x,x,x,x,x,56.16139,15.57556
"Tving, P-plats affären",Tving,x,x,x,x,x,56.31028,15.46111
"Vedeby, P-plats köpcentrum Amiralen",Vedeby,x,x,x,x,x,56.19500,15.64194
"Verkö, Toras väg",Verkö,x,x,x,x,x,56.16972,15.64722
"Västra Mark, P-plats Idrottsplatsen",Västra Mark,x,x,x,x,x,56.18833,15.59583
Allatorp,Rosenholm, , , , ,x,56.24222,15.59139
